Category,Defect Cause,Earliest Detection,Automated Detection,Where AI Adds Value,Use Traditional Tooling,Systemic Correction
Product & Discovery,Building the wrong thing,Discovery,Feature adoption tracking; alert on <X% usage after N days; funnel drop-off analysis,Synthesize user feedback; support tickets; and usage data to surface misalignment signals at volume,Adoption dashboards and funnel analytics (Amplitude; Mixpanel) — straightforward metric tracking,Validated user research before backlog entry; dual-track agile; kill features that miss adoption thresholds
Product & Discovery,Solving a problem nobody has,Discovery,Support ticket topic clustering vs. feature investment; automated survey correlation with releases,Semantic analysis of interview transcripts; forums; and tickets to identify actual vs. assumed pain,Ticket counts; feature request votes; search volume — counting problems for helpdesk/analytics tools,Problem validation as a stage gate; publish problem brief before solution brief; quantify user pain
Product & Discovery,Correct problem; wrong solution,Discovery,A/B test significance; feature flag cohort comparison; task completion rate tracking,Evaluate prototypes against problem definitions; generate alternative solution approaches,A/B frameworks; statistical significance calculators — let the math do the math,Prototype multiple approaches; measurable success criteria before building; experiment with flags first
Product & Discovery,Meets spec but misses user intent,Requirements,Rage-click and error-loop detection (FullStory; Hotjar); task completion rate vs. feature presence,Review acceptance criteria for missing user outcomes; analyze session replays at scale for frustration patterns,UX analytics tools handle rage-click detection and session replay — solved pattern-matching,Acceptance criteria as user outcomes; not functional checklists; regular usability testing cadence
Product & Discovery,Over-engineering beyond need,Design,Lead time per unit of value; LOC per feature; static analysis for unused abstractions and dead code,Flag unnecessary abstraction layers; premature optimization; and complexity vs. actual requirements in code review,Dead code detection; complexity scoring (SonarQube; ESLint) — deterministic static analysis,YAGNI as team norm; time-box spikes; justify every abstraction layer; review architecture vs. actual scale quarterly
Product & Discovery,Prioritizing wrong work,Discovery,DORA metrics correlated with business outcomes; cost of delay dashboards; investment vs. outcome tracking,Synthesize roadmap; customer data; and market signals to surface opportunity cost,WSJF scoring; capacity planning — spreadsheet problems needing accurate inputs; not AI,WSJF for prioritization; regular portfolio reviews with outcome data; publish what you chose NOT to do
Integration & Boundaries,Interface mismatches,CI,Consumer-driven contract tests (Pact); schema validation (OpenAPI; protobuf/buf linting); API compat checks per PR,Predict which consumers break from API changes based on usage patterns when formal contracts don't exist,Contract tests; schema validation; compatibility checks — must be deterministic; not probabilistic,Contract tests mandatory per boundary; API-first with generated clients; version + migration plan before merge
Integration & Boundaries,Wrong assumptions about upstream/downstream,Design,Chaos engineering (Gremlin; Litmus); synthetic transactions across boundaries; unexpected response alerting,Review code/docs to identify undocumented behavioral assumptions (timeouts; retries; error semantics),Fault injection; circuit breaker monitoring; synthetic checks — must be deterministic and repeatable,Document behavioral contracts; not just schemas; defensive coding at boundaries; circuit breakers as default
Integration & Boundaries,Race conditions,Pre-Commit,Thread sanitizers (TSan); load testing with concurrency; fuzz testing; anomaly detection for intermittent failures,Limited — can flag concurrency anti-patterns in PR review; but cannot replace formal detection tools,TSan; race detectors; TLA+; fuzz testing — purpose-built formal tools. This is a tooling problem; not a judgment problem,Design for idempotency; queues over shared mutable state; lock ordering conventions; concurrency review checklist
Integration & Boundaries,Inconsistent distributed state,Design,Reconciliation jobs; distributed tracing with anomaly detection; saga completion monitoring,Review designs for missing compensation logic or consistency model mismatches — useful at design time,Tracing (Jaeger/Zipkin); reconciliation; saga monitoring — continuous operational tools; deterministic,Choose consistency model deliberately per use case; saga with compensating transactions; event sourcing
Knowledge & Communication,Implicit domain knowledge not in code,Coding,Magic number detection in static analysis; git knowledge-concentration metrics; onboarding time tracking,HIGH VALUE: Identify undocumented business rules; missing 'why' in code; and knowledge gaps a new dev would hit,Git history analysis; code ownership metrics (CodeScene; git-fame) — counting/graphing problems,DDD with ubiquitous language; embed rules in code not wikis; pair across experience levels; rotate ownership
Knowledge & Communication,Ambiguous requirements,Requirements,Flag stories without acceptance criteria; BDD spec coverage tracking; defect classification for 'requirements gap',HIGH VALUE: Review requirements for ambiguity; missing edge cases; contradictions; and unstated assumptions; generate test scenarios,BDD coverage reports; story tracking; defect tagging — workflow tools (Jira; ADO) handle categorization,Three Amigos before work starts; example mapping; executable specs as source of truth; given/when/then required
Knowledge & Communication,Tribal knowledge loss,Coding,Bus factor from git history; single-author concentration alerts; documentation freshness checks,Generate documentation from code/tests; flag where docs have drifted from implementation,Git analysis; bus factor scoring; last-modified checks — existing analysis tools handle this,Pair/mob programming as default; rotate on-call; automate tribal knowledge; living docs from code
